,query,region,title,excerpt,date,source,link
59,semiconductor,china,Asia's chip crunch slams the brakes on carmakers' COVID ...,"The U.S.-China trade and tech conflict also meant fewer semiconductors on 
the market because of Washington's curbs on Chinese chipmakers.",22 Jan 2021,Nikkei Asia,https://asia.nikkei.com/Business/Business-Spotlight/Asia-s-chip-crunch-slams-the-brakes-on-carmakers-COVID-recovery
60,semiconductor,china,TSMC Earnings: Huge Capex Spending Plans Aim Squarely ...,"A budget blowout is a signal that the world's semiconductor giant will go 
to ... China's Semiconductor Manufacturing International Corp. and ...",14 Jan 2021,Bloomberg.com,https://www.bloomberg.com/opinion/articles/2021-01-14/as-chip-rivals-struggle-tsmc-goes-in-for-the-kill
61,semiconductor,china,Taiwan's GDP Growth Outpaces China's for First Time in 30 ...,"Taiwan's economic growth outpaced that of China's for the first time in 30 
... such as Taiwan Semiconductor Manufacturing Co. and Hon Hai ...",28 Jan 2021,Bloomberg.com,https://www.bloomberg.com/news/articles/2021-01-28/taiwan-set-to-reclaim-economic-lead-over-china-but-only-briefly
62,semiconductor,china,Applied Materials Lifts Bid for Kokusai to $3.5 Billion,"Semiconductors have become a key area of contention in the trade war 
between China and the U.S. under the administration of President Donald ...",4 Jan 2021,Bloomberg.com,https://www.bloomberg.com/news/articles/2021-01-04/applied-materials-lifts-bid-for-kokusai-electric-to-3-5-billion
63,semiconductor,china,"U.S. to Press Taiwan, TSMC to Resolve Auto Chip Crunch","Chinese Foreign Ministry spokesman Zhao Lijian told a regular news ... 
portion of the semiconductors for everything from cars to laptops.",29 Jan 2021,Bloomberg.com,https://www.bloomberg.com/news/articles/2021-01-29/u-s-officials-to-press-taiwan-tsmc-to-resolve-auto-chip-crunch
64,semiconductor,china,Taiwan exports still going strong after record-breaking year,"Semiconductors made up about 35% of the island's exports. ... Mainland 
China and Hong Kong constituted Taiwan's biggest export destination ...",9 Jan 2021,Nikkei Asia,https://asia.nikkei.com/Economy/Taiwan-exports-still-going-strong-after-record-breaking-year
65,semiconductor,china,"China-EU deal boosts Beijing's goals to stay in global tech scene but rely 
on the U.S. less, professor says","China-EU deal boosts Beijing's goals to stay in global tech scene but ... 
pointed to China's focus on bolstering its domestic semiconductor ...",19 Jan 2021,CNBC,https://www.cnbc.com/2021/01/19/chinas-pivot-to-europe-in-light-of-the-tech-war-with-the-us.html
66,semiconductor,china,China takes aim at foreign companies swayed by US sanctions,"The measure would cover such restrictions as American export controls of 
tech components to the likes of Huawei and Semiconductor ...",10 Jan 2021,Nikkei Asia,https://asia.nikkei.com/Economy/Trade-war/China-takes-aim-at-foreign-companies-swayed-by-US-sanctions
67,semiconductor,china,China brings in new law to fight Trump's sanctions,"The delistings follow a raft of actions against Chinese firms in recent 
months including TikTok, Huawei and microchip maker Semiconductor ...",11 Jan 2021,BBC,https://www.bbc.com/news/business-55614034
68,semiconductor,china,EETimes - Covid-19: Semiconductors at the Heart of Turmoil,"This will damage Chinese tech companies (more than U.S. tech companies) 
because China's semiconductor development and production is still ...",19 Jan 2021,EE Times,https://www.eetimes.com/covid-19-semiconductors-at-the-heart-of-turmoil/
69,semiconductor,china,STAR Market ETF tests U.S. appetite for China tech stocks,"STAR Market-listed chipmaker Semiconductor Manufacturing International Corp 
(SMIC) is on the list. New York-based Krane Funds Advisors, ...",27 Jan 2021,Reuters,https://www.reuters.com/article/china-us-star-idUSL4N2K222C
70,semiconductor,china,A look at China's recent spate of bond defaults,"China Business Review ... Semiconductor Self-Sufficiency: MIIT's Ambitions 
for 2021 and Beyond · The Growing Intersection of Digital Health ...",22 Jan 2021,China Business Review,https://www.chinabusinessreview.com/podcast/a-look-at-chinas-recent-spate-of-bond-defaults/
71,semiconductor,china,‘Gathering storm’: EU firms say US-China decoupling is hurting,"Rivalry between US and China in tech is the biggest source of concern, 
European business groups say in a new report. China, which is heavily ...",14 Jan 2021,Al Jazeera,https://www.aljazeera.com/economy/2021/1/14/gathering-storm-eu-firms-say-us-china-decoupling-is-hurting
72,semiconductor,china,"Renesas, NXP and other chipmakers raise prices on surging ...","TOKYO -- Japan's Renesas Electronics, the Netherlands' NXP Semiconductors 
and other chipmakers are raising prices on semiconductors that go ...",22 Jan 2021,Nikkei Asia,https://asia.nikkei.com/Business/Tech/Semiconductors/Renesas-NXP-and-other-chipmakers-raise-prices-on-surging-auto-demand
